-0.4212,1.1295,500.0537,358.5299,73.4032,-0.0035
-0.4220,1.1295,500.0545,358.4884,73.2708,0.0719
-0.4226,1.1295,500.0551,358.4294,73.1459,0.2510
-0.4232,1.1294,500.0559,358.4211,72.9618,0.3368
-0.4238,1.1291,500.0565,358.4158,72.7999,0.3868
-0.4247,1.1289,500.0573,358.4837,72.6391,0.3546
-0.4256,1.1287,500.0580,358.5681,72.4979,0.2006
-0.4263,1.1285,500.0585,358.5586,72.4467,0.1392
-0.4291,1.1283,500.0605,358.4699,72.0332,0.2583
-0.4306,1.1278,500.0614,358.5407,71.7178,0.3226
-0.4311,1.1275,500.0613,358.5300,71.7514,0.2996
-0.4317,1.1273,500.0616,358.5337,71.7639,0.2523
-0.4324,1.1273,500.0619,358.5549,71.7341,0.2184
-0.4331,1.1271,500.0623,358.6027,71.6434,0.1916
-0.4337,1.1268,500.0626,358.6592,71.5114,0.2060
-0.4344,1.1266,500.0629,358.6670,71.3850,0.2353
-0.4352,1.1265,500.0630,358.6691,71.2624,0.2344
-0.4358,1.1262,500.0634,358.6577,71.1944,0.2531
-0.4364,1.1260,500.0635,358.6491,71.1703,0.2574
-0.4386,1.1253,500.0643,358.6943,71.1082,0.1714
-0.4394,1.1252,500.0642,358.7124,70.9734,0.2090
-0.4402,1.1247,500.0643,358.7268,70.8230,0.1907
-0.4409,1.1242,500.0645,358.8337,70.7750,0.0932
-0.4415,1.1240,500.0647,358.9018,70.6823,0.0250
-0.4418,1.1239,500.0644,358.8973,70.6837,0.0980
-0.4420,1.1236,500.0640,358.8904,70.7180,0.2024
-0.4424,1.1235,500.0637,358.8376,70.7045,0.2791
-0.4429,1.1235,500.0635,358.8507,70.6365,0.2253
-0.4435,1.1233,500.0635,358.9124,70.5545,0.0821
-0.4440,1.1231,500.0635,358.9811,70.5137,-0.0046
-0.4446,1.1230,500.0635,359.0053,70.5078,359.9190
-0.4449,1.1230,500.0635,358.9994,70.4773,359.8639
-0.4452,1.1229,500.0632,358.9697,70.4856,359.9317
-0.4455,1.1229,500.0629,358.9483,70.4725,0.0084
-0.4463,1.1229,500.0626,358.9498,70.4547,0.0388
-0.4468,1.1228,500.0624,358.9881,70.4014,0.0328
-0.4473,1.1226,500.0624,359.0135,70.3747,-0.0041
-0.4487,1.1223,500.0616,358.9698,70.3654,-0.0035
-0.4499,1.1225,500.0614,358.9269,70.3091,359.9938
-0.4510,1.1225,500.0606,358.9470,70.2822,0.0056
-0.4516,1.1225,500.0606,358.9575,70.2300,359.8565
-0.4521,1.1227,500.0605,358.9608,70.2093,359.7323
-0.4524,1.1225,500.0599,358.9612,70.2404,359.6946
-0.4528,1.1226,500.0594,358.9354,70.2795,359.7782
-0.4532,1.1225,500.0593,358.8977,70.2756,359.8493
-0.4538,1.1226,500.0591,358.8818,70.2026,359.8971
-0.4544,1.1227,500.0588,358.8597,70.1484,359.8319
-0.4550,1.1228,500.0585,358.8668,70.1513,359.6752
-0.4554,1.1227,500.0582,358.8431,70.1727,359.5680
-0.4560,1.1228,500.0578,358.8141,70.1890,359.4590
-0.4582,1.1228,500.0558,358.7381,70.1594,359.6297
-0.4592,1.1229,500.0550,358.6797,70.2046,359.5977
-0.4599,1.1229,500.0540,358.6658,70.2843,359.5174
-0.4605,1.1226,500.0534,358.7037,70.3007,359.5678
-0.4607,1.1223,500.0528,358.7113,70.3058,359.5919
-0.4609,1.1221,500.0520,358.7393,70.3438,359.6666
-0.4610,1.1221,500.0510,358.7404,70.4301,359.7234
-0.4610,1.1218,500.0501,358.7192,70.4596,359.7154
-0.4612,1.1217,500.0494,358.7256,70.4939,359.6737
-0.4613,1.1215,500.0488,358.7617,70.5595,359.6581
-0.4615,1.1214,500.0480,358.7985,70.6355,359.6466
-0.4616,1.1213,500.0471,358.8230,70.7153,359.6726
-0.4613,1.1213,500.0462,358.8214,70.7988,359.7297
-0.4612,1.1212,500.0453,358.8161,70.8539,359.7553
-0.4613,1.1211,500.0444,358.8444,70.9055,359.7598
-0.4616,1.1208,500.0437,358.9033,70.9834,359.6859
-0.4617,1.1209,500.0400,358.9447,71.3751,359.6875
-0.4616,1.1208,500.0383,358.8430,71.5365,359.8924
-0.4618,1.1210,500.0367,358.8173,71.5997,359.8882
-0.4618,1.1211,500.0362,358.8917,71.6289,359.7528
-0.4616,1.1212,500.0355,358.9020,71.7357,359.7690
-0.4614,1.1213,500.0345,358.8766,71.8328,359.8603
-0.4611,1.1215,500.0336,358.8587,71.9229,359.9357
-0.4609,1.1216,500.0327,358.8232,71.9476,-0.0012
-0.4608,1.1218,500.0319,358.7736,71.9908,0.0347
-0.4608,1.1218,500.0311,358.7310,72.0631,0.0274
-0.4606,1.1221,500.0297,358.7301,72.2300,359.9828
-0.4604,1.1222,500.0272,358.7513,72.5022,359.9680
-0.4603,1.1224,500.0256,358.7583,72.6354,0.0304
-0.4600,1.1222,500.0246,358.6935,72.6816,0.0476
-0.4599,1.1223,500.0237,358.6769,72.7815,0.0753
-0.4599,1.1225,500.0230,358.6584,72.8672,0.0985
-0.4598,1.1225,500.0222,358.6264,72.9338,0.0943
-0.4598,1.1226,500.0213,358.6130,73.0325,0.1024
-0.4597,1.1225,500.0204,358.6313,73.1265,0.1116
-0.4595,1.1227,500.0192,358.6300,73.2282,0.1490
-0.4594,1.1227,500.0183,358.6309,73.3270,0.1824
-0.4593,1.1226,500.0175,358.6270,73.4031,0.1682
-0.4592,1.1226,500.0166,358.6235,73.4881,0.1454
-0.4593,1.1226,500.0157,358.6248,73.6009,0.1071
-0.4593,1.1224,500.0150,358.6564,73.6709,0.0558
-0.4592,1.1224,500.0143,358.6990,73.7161,0.0426
-0.4592,1.1223,500.0135,358.7119,73.7672,0.0446
-0.4589,1.1222,500.0126,358.6859,73.8397,0.1357
